steps	avg_reward	std_reward	success_rate
0	25.0	3.3734255586866	0.0
1000	9.4	0.8246211251235321	0.0
2000	9.39	0.7469270379361025	0.0
3000	9.33	0.6489221833163049	0.0
4000	9.36	0.7939773296511683	0.0
5000	9.41	0.7495998932764065	0.0
6000	9.24	0.7631513611335564	0.0
7000	9.32	0.7600000000000001	0.0
8000	9.29	0.7654410493303844	0.0
9000	9.34	0.8272847151978571	0.0
10000	9.27	0.6907242575731649	0.0
11000	9.38	0.7453858061433689	0.0
12000	9.44	0.7525955088890712	0.0
13000	9.38	0.7453858061433689	0.0
14000	9.16	0.7709734106958552	0.0
15000	9.43	0.7107038764492565	0.0
16000	9.32	0.8231646250902671	0.0
17000	9.23	0.7855571271397136	0.0
18000	9.38	0.7453858061433689	0.0
19000	9.34	0.7644605941446557	0.0
20000	9.29	0.8519976525789259	0.0
