steps	avg_reward	std_reward	success_rate
0	54.94	27.745925827047117	0.0
1000	200.0	0.0	1.0
2000	200.0	0.0	1.0
3000	197.46	10.76421850391379	0.92
4000	200.0	0.0	1.0
5000	200.0	0.0	1.0
6000	200.0	0.0	1.0
7000	200.0	0.0	1.0
8000	200.0	0.0	1.0
9000	200.0	0.0	1.0
10000	200.0	0.0	1.0
11000	200.0	0.0	1.0
12000	200.0	0.0	1.0
13000	199.93	0.696491205974634	0.99
14000	200.0	0.0	1.0
15000	199.87	1.197121547713514	0.98
16000	200.0	0.0	1.0
17000	200.0	0.0	1.0
18000	200.0	0.0	1.0
19000	200.0	0.0	1.0
20000	200.0	0.0	1.0
