steps	avg_reward	std_reward	success_rate
0	36.64	14.764497959632765	0.0
1000	78.28	5.679929577028222	0.0
2000	196.28	5.662296353953932	0.53
3000	67.64	7.168709786286511	0.0
4000	174.01	16.900588747141324	0.19
5000	103.7	6.963476143421475	0.0
6000	200.0	0.0	1.0
7000	200.0	0.0	1.0
8000	196.01	7.791655793218794	0.72
9000	200.0	0.0	1.0
10000	199.96	0.39799497484264806	0.99
11000	200.0	0.0	1.0
12000	200.0	0.0	1.0
13000	200.0	0.0	1.0
14000	200.0	0.0	1.0
15000	200.0	0.0	1.0
16000	195.68	7.448328671588009	0.66
17000	200.0	0.0	1.0
18000	200.0	0.0	1.0
19000	152.27	40.330349614155345	0.24
20000	189.79	19.424363567437673	0.66
