steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-133.47	33.40582434247058	0.98
2000	-127.36	27.066037759524388	1.0
3000	-142.57	27.08219156567651	1.0
4000	-164.86	19.255658908487135	1.0
5000	-136.73	14.281354977732333	1.0
6000	-161.31	30.89391364006833	0.98
7000	-153.87	25.675145569207587	1.0
8000	-141.65	6.117801892837002	1.0
9000	-156.95	16.62310139534738	1.0
10000	-131.13	28.58169169241037	0.99
11000	-146.64	39.70781283324479	0.84
12000	-146.99	8.730973599776833	1.0
13000	-142.26	21.092946688407476	0.99
14000	-147.75	13.644321163033359	1.0
15000	-140.88	13.42257799381326	1.0
16000	-145.52	18.172770839913216	1.0
17000	-145.91	18.404942271031445	1.0
18000	-139.84	24.884018968004344	0.98
19000	-138.99	22.497775445585727	1.0
20000	-140.91	21.562511449272325	0.99
