steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-199.4	1.7320508075688776	0.12
2000	-200.0	0.0	0.0
3000	-200.0	0.0	0.0
4000	-193.02	22.398651745138594	0.17
5000	-200.0	0.0	0.0
6000	-200.0	0.0	0.0
7000	-200.0	0.0	0.0
8000	-200.0	0.0	0.0
9000	-200.0	0.0	0.0
10000	-200.0	0.0	0.0
11000	-200.0	0.0	0.0
12000	-200.0	0.0	0.0
13000	-200.0	0.0	0.0
14000	-200.0	0.0	0.0
15000	-200.0	0.0	0.0
16000	-200.0	0.0	0.0
17000	-200.0	0.0	0.0
18000	-200.0	0.0	0.0
19000	-200.0	0.0	0.0
20000	-200.0	0.0	0.0
