steps	avg_reward	std_reward	success_rate
0	23.05	3.1571347769773785	0.0
1000	200.0	0.0	1.0
2000	200.0	0.0	1.0
3000	200.0	0.0	1.0
4000	200.0	0.0	1.0
5000	200.0	0.0	1.0
6000	200.0	0.0	1.0
7000	200.0	0.0	1.0
8000	200.0	0.0	1.0
9000	200.0	0.0	1.0
10000	200.0	0.0	1.0
11000	200.0	0.0	1.0
12000	145.28	65.29932312053472	0.48
13000	200.0	0.0	1.0
14000	52.94	30.371308829222357	0.0
15000	197.95	14.495775246602022	0.98
16000	125.7	70.61097648383004	0.43
17000	182.02	43.33450818920182	0.83
18000	200.0	0.0	1.0
19000	196.82	6.728120094053018	0.73
20000	200.0	0.0	1.0
