steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-131.98	35.51872182384946	1.0
2000	-152.64	19.78611634454826	0.89
3000	-130.91	16.557835003405486	0.97
4000	-200.0	0.0	0.0
5000	-156.21	38.82532549766969	0.56
6000	-134.64	32.65134606719913	0.98
7000	-144.65	49.822359438308425	0.64
8000	-188.89	20.507508381078377	0.23
9000	-129.76	18.187974048804882	0.95
10000	-125.48	15.925752729463056	0.97
11000	-153.16	18.237719155640054	1.0
12000	-137.96	24.350326486517588	1.0
13000	-143.92	18.852416290757002	1.0
14000	-162.09	45.92365294703809	0.55
15000	-140.75	40.88749808926929	0.78
16000	-183.45	25.27543273615706	0.32
17000	-174.77	7.384923831699282	1.0
18000	-155.72	28.644399103489672	0.98
19000	-178.9	15.948981158682207	0.72
20000	-162.92	29.42335127071694	0.92
