steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-142.49	28.586533542911425	0.98
2000	-147.31	13.22550188083613	1.0
3000	-152.15	14.859592861178935	0.96
4000	-151.33	9.31671079297839	1.0
5000	-155.62	11.111957523316944	1.0
6000	-150.21	14.753504668383034	0.97
7000	-148.89	7.024094247659267	1.0
8000	-146.19	12.004744895248711	1.0
9000	-141.06	17.63168738379852	1.0
10000	-145.41	8.202554480160433	1.0
11000	-149.27	18.84348959189884	0.98
12000	-147.78	26.973164441718733	0.93
13000	-139.1	17.646812743382302	1.0
14000	-143.49	8.59476003155411	1.0
15000	-141.94	17.569188939731966	1.0
16000	-140.81	17.78240422440115	1.0
17000	-143.6	16.75350709553077	1.0
18000	-144.25	11.81979272237885	1.0
19000	-145.09	20.8519039898039	0.97
20000	-142.11	19.852906588205165	1.0
