steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-185.77	25.391279999243828	0.24
2000	-184.16	20.78014436908464	0.37
3000	-175.06	17.612393363765186	0.67
4000	-159.6	36.78042957878551	0.91
5000	-165.04	21.627722949954762	0.73
6000	-151.04	33.99615272350682	0.97
7000	-156.68	2.0730653631759903	1.0
8000	-186.34	21.09654948089853	0.3
9000	-184.79	13.169126774391685	0.63
10000	-161.53	41.82617720997222	0.62
11000	-163.45	24.01265291466147	0.72
12000	-200.0	0.0	0.0
13000	-200.0	0.0	0.0
14000	-200.0	0.0	0.0
15000	-138.0	35.476752951757014	0.99
16000	-150.78	15.271267137994803	0.98
17000	-160.08	16.13299724167831	0.89
18000	-188.2	20.705071842425465	0.35
19000	-171.16	28.14985612751866	0.67
20000	-133.88	31.15229686556033	1.0
