steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-193.53	14.357893299506024	0.17
2000	-158.89	20.21974035441603	0.88
3000	-173.5	33.2624412814213	0.39
4000	-200.0	0.0	0.0
5000	-200.0	0.0	0.0
6000	-141.04	8.123939930846362	1.0
7000	-173.95	20.675287180593163	0.73
8000	-151.26	51.811894387292966	0.54
9000	-172.95	23.511008060055612	0.58
10000	-139.58	36.478262020003086	1.0
11000	-161.01	17.90334884874894	0.99
12000	-186.47	21.556648626351915	0.31
13000	-177.65	36.96251479539777	0.53
14000	-152.8	21.9508541975022	1.0
15000	-149.47	16.170006184290717	0.99
16000	-148.61	19.04095323244086	1.0
17000	-151.53	5.41932652642374	1.0
18000	-130.92	25.812663558803845	1.0
19000	-147.7	19.019726601610234	0.96
20000	-187.17	22.83377104203333	0.24
