steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-167.68	32.40150613783254	0.7
2000	-164.1	51.322412258193786	0.34
3000	-200.0	0.0	0.0
4000	-200.0	0.0	0.0
5000	-119.33	22.502913144746394	1.0
6000	-146.31	9.994693592101761	1.0
7000	-144.78	33.96515273040885	0.98
8000	-166.15	26.21235395762845	0.63
9000	-183.1	20.329535164385828	0.41
10000	-158.18	38.3857734063025	0.72
11000	-110.13	32.53848644298011	0.91
12000	-155.16	35.21469011648406	0.64
13000	-191.8	15.57562197795003	0.25
14000	-163.48	39.671269200770475	0.46
15000	-198.11	3.4666842948269743	0.35
16000	-193.79	8.020342885438254	0.38
17000	-147.01	38.107084643147395	0.84
18000	-139.57	13.414361706767862	1.0
19000	-189.89	8.665904453662066	0.61
20000	-129.11	15.501545084281116	1.0
