steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-176.91	25.45509575703851	0.75
2000	-172.36	15.802860500554955	0.79
3000	-176.13	36.370772606586186	0.35
4000	-200.0	0.0	0.0
5000	-147.66	35.12384375321129	0.99
6000	-123.65	31.494563022845707	0.99
7000	-138.84	31.219135157784244	1.0
8000	-200.0	0.0	0.0
9000	-151.81	46.38958827150764	0.58
10000	-145.67	35.356203133255136	0.91
11000	-141.4	20.167796111623105	0.99
12000	-160.74	52.46782252009321	0.36
13000	-144.04	38.59661125021211	0.75
14000	-200.0	0.0	0.0
15000	-200.0	0.0	0.0
16000	-153.25	28.047950014216724	0.99
17000	-200.0	0.0	0.0
18000	-199.98	0.19899748742132398	0.01
19000	-141.42	5.087592750997273	1.0
20000	-134.21	40.2000733830176	0.87
