steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-115.86	1.8762729012593027	1.0
2000	-171.47	20.71784496515021	0.81
3000	-192.81	24.93900358875631	0.08
4000	-145.83	48.97959881420018	0.77
5000	-171.37	38.23758752850394	0.36
6000	-145.11	33.52488478727406	0.92
7000	-155.72	18.698705837570685	0.88
8000	-147.78	48.62830040213209	0.67
9000	-146.73	37.03075883640518	0.97
10000	-139.03	25.786994784193055	0.98
11000	-155.86	45.615352678676075	0.54
12000	-133.67	36.198633952125874	1.0
13000	-136.86	36.20304407090652	0.99
14000	-142.04	36.153815842867814	1.0
15000	-134.11	22.86652356612172	1.0
16000	-152.71	33.44347320479738	0.75
17000	-194.09	15.620560169212881	0.15
18000	-200.0	0.0	0.0
19000	-178.13	29.14194742977895	0.44
20000	-150.3	10.87152243248387	1.0
