steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-169.5	21.621979557848075	0.8
2000	-200.0	0.0	0.0
3000	-124.77	23.882150238200914	0.91
4000	-193.67	14.51279091009031	0.16
5000	-171.56	27.342026259953737	0.54
6000	-133.35	23.688552087453548	1.0
7000	-168.61	12.27835086646411	0.95
8000	-188.87	17.861497697561646	0.28
9000	-117.57	8.915441660400228	1.0
10000	-140.95	35.169127086124846	0.98
11000	-147.59	7.2719942244201485	1.0
12000	-145.25	38.715210189278324	0.99
13000	-156.57	26.684922709275362	1.0
14000	-148.09	34.18803738151694	1.0
15000	-128.39	36.59423315223316	1.0
16000	-153.96	37.68711185538102	0.6
17000	-153.11	29.11731271941146	0.97
18000	-136.43	36.391003008985614	0.99
19000	-175.62	20.80902688738712	0.61
20000	-151.02	1.8866902236456309	1.0
