steps	avg_reward	std_reward	success_rate
0	113.13	62.74450653244473	0.32
1000	9.27	0.73287106642301	0.0
2000	9.34	0.751265598839718	0.0
3000	9.35	0.7123903424387504	0.0
4000	9.38	0.8096912991998866	0.0
5000	9.33	0.6936137253543936	0.0
6000	9.41	0.8011866199581719	0.0
7000	9.33	0.8006872048434395	0.0
8000	9.36	0.7939773296511683	0.0
9000	9.4	0.7615773105863908	0.0
10000	9.43	0.6819824044651005	0.0
11000	9.38	0.8096912991998866	0.0
12000	9.38	0.6749814812274482	0.0
13000	9.31	0.8086408349817612	0.0
14000	9.41	0.7361385739111896	0.0
15000	9.47	0.7135124385741288	0.0
16000	9.35	0.8170067319184096	0.0
17000	9.22	0.7152621896899067	0.0
18000	9.37	0.7163099887618488	0.0
19000	9.27	0.7596709814123479	0.0
20000	9.32	0.7858753081755401	0.0
