steps	avg_reward	std_reward	success_rate
0	16.46	2.0660106485688794	0.0
1000	9.44	0.7255342858886822	0.0
2000	9.29	0.7783957862167549	0.0
3000	9.36	0.7418894796396562	0.0
4000	9.39	0.8354040938372281	0.0
5000	9.27	0.77272245987806	0.0
6000	9.25	0.82915619758885	0.0
7000	9.42	0.7372923436466705	0.0
8000	9.22	0.7152621896899066	0.0
9000	9.34	0.7644605941446557	0.0
10000	9.36	0.7939773296511683	0.0
11000	9.39	0.6913031173081747	0.0
12000	9.29	0.7251896303726356	0.0
13000	9.34	0.751265598839718	0.0
14000	9.29	0.7522632517942106	0.0
15000	9.33	0.8006872048434396	0.0
16000	9.48	0.6852736679604726	0.0
17000	9.4	0.7348469228349535	0.0
18000	9.35	0.7533259586659681	0.0
19000	9.43	0.7107038764492566	0.0
20000	9.39	0.7334166619323561	0.0
