steps	avg_reward	std_reward	success_rate
0	57.4	21.18584433059018	0.0
1000	9.37	0.7701298591796062	0.0
2000	9.36	0.71442284397967	0.0
3000	9.47	0.7135124385741288	0.0
4000	9.23	0.7050531894828929	0.0
5000	9.45	0.7262919523166975	0.0
6000	9.26	0.6726068688320094	0.0
7000	9.23	0.7050531894828929	0.0
8000	9.4	0.7874007874011811	0.0
9000	9.39	0.7334166619323561	0.0
10000	9.25	0.7794228634059948	0.0
11000	9.4	0.7483314773547882	0.0
12000	9.38	0.7586830695356264	0.0
13000	9.38	0.7453858061433689	0.0
14000	9.41	0.6647555941848101	0.0
15000	9.25	0.7262919523166975	0.0
16000	9.41	0.8613361713059541	0.0
17000	9.26	0.7696752561957543	0.0
18000	9.34	0.7241546796092669	0.0
19000	9.45	0.6837397165588672	0.0
20000	9.19	0.7575618786607468	0.0
