steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-171.02	28.597545349207856	0.64
2000	-132.21	26.294217995597432	0.87
3000	-194.91	4.171558461774209	0.65
4000	-149.27	11.269299002156258	0.98
5000	-137.47	32.08035380104153	0.99
6000	-173.96	42.91804282583259	0.32
7000	-149.91	27.34084673158459	0.99
8000	-123.0	23.276597689524987	1.0
9000	-163.72	24.928730412919148	0.88
10000	-161.72	35.867277566048976	0.69
11000	-120.37	11.747897684266748	0.98
12000	-156.97	24.045978873815887	1.0
13000	-200.0	0.0	0.0
14000	-159.71	43.01006742612711	0.71
15000	-117.85	3.9022429447690716	1.0
16000	-137.78	33.53403644060762	1.0
17000	-200.0	0.0	0.01
18000	-138.29	31.39372389507177	0.98
19000	-139.58	49.138819684644446	0.7
20000	-118.12	16.286976392197538	0.97
