steps	avg_reward	std_reward	success_rate
0	9.33	0.6790434448545984	0.0
1000	52.29	8.335820295567798	0.0
2000	22.98	1.9998999974998748	0.0
3000	199.8	1.462873883832779	0.98
4000	60.86	17.643707093465363	0.0
5000	188.31	11.942106179397335	0.36
6000	186.51	11.631418658100136	0.19
7000	123.71	11.329867607346522	0.0
8000	186.29	9.1883567627732	0.21
9000	200.0	0.0	1.0
10000	200.0	0.0	1.0
11000	192.9	7.439758060582347	0.34
12000	200.0	0.0	1.0
13000	200.0	0.0	1.0
14000	200.0	0.0	1.0
15000	199.59	1.3935207210515386	0.9
16000	200.0	0.0	1.0
17000	152.39	10.019875248724407	0.0
18000	200.0	0.0	1.0
19000	200.0	0.0	1.0
20000	200.0	0.0	1.0
