steps	avg_reward	std_reward	success_rate
0	9.23	0.73287106642301	0.0
1000	26.81	3.626830572276571	0.0
2000	28.27	3.4694524063604044	0.0
3000	38.98	3.5748566404822446	0.0
4000	27.48	4.19399570815231	0.0
5000	28.97	3.899884613677692	0.0
6000	171.64	29.66058664288352	0.44
7000	100.66	4.833673551244437	0.0
8000	145.08	22.337269304908332	0.07
9000	199.0	3.9471508711981103	0.9
10000	199.66	1.7956614380222125	0.96
11000	180.75	19.612432281591182	0.31
12000	122.85	12.024454249569915	0.01
13000	142.87	16.631088358853727	0.04
14000	199.84	1.083697374731525	0.97
15000	162.65	15.020902103402445	0.1
16000	147.33	6.229052897511788	0.0
17000	192.84	14.32600432779496	0.73
18000	200.0	0.0	1.0
19000	199.95	0.40926763859362253	0.98
20000	181.16	13.31143869008906	0.24
