steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-155.89	18.338972163128446	0.97
2000	-152.3	19.20859182761714	0.99
3000	-153.96	19.504317470755037	0.97
4000	-147.82	24.523205336986436	0.97
5000	-149.25	13.88839443564302	0.99
6000	-141.63	14.832838568527604	1.0
7000	-140.74	23.097887349279368	1.0
8000	-138.62	24.7797417258534	0.99
9000	-131.91	19.18389689296729	1.0
10000	-135.23	19.853390138714346	1.0
11000	-129.4	21.855891654197045	1.0
12000	-132.82	19.504553314546836	1.0
13000	-137.2	17.641428513586987	1.0
14000	-136.66	21.50359039788472	1.0
15000	-128.94	27.01400377581968	0.99
16000	-130.74	24.191163676020217	1.0
17000	-135.2	19.957454747537323	1.0
18000	-134.23	23.85785195695539	1.0
19000	-137.34	20.312665999321705	1.0
20000	-131.22	22.269521773042186	1.0
