steps	avg_reward	std_reward	success_rate
0	9.39	0.8233468284993877	0.0
1000	41.55	5.280861672113747	0.0
2000	127.14	15.440867851257583	0.0
3000	97.97	12.086732395482247	0.0
4000	109.38	11.68398904484252	0.0
5000	200.0	0.0	1.0
6000	139.81	19.74623761631567	0.0
7000	191.44	20.49649726172743	0.8
8000	198.51	6.579506060488127	0.95
9000	200.0	0.0	1.0
10000	199.95	0.49749371855331	0.99
11000	190.35	15.329954337831541	0.61
12000	123.95	18.146280610637543	0.0
13000	114.93	31.90775924442204	0.0
14000	149.35	41.8405007140211	0.3
15000	186.84	29.066723241535158	0.81
16000	199.45	2.1089096708963138	0.92
17000	187.62	13.616005287895563	0.45
18000	185.52	22.944925364881886	0.61
19000	198.4	9.108238029388557	0.97
20000	179.79	34.36722130169967	0.71
