steps	avg_reward	std_reward	success_rate
0	80.83	39.473802705085305	0.04
1000	9.43	0.8155366331440912	0.0
2000	9.37	0.783007024234138	0.0
3000	9.37	0.808146026408594	0.0
4000	9.33	0.762299153875957	0.0
5000	9.3	0.806225774829855	0.0
6000	9.35	0.8046738469715541	0.0
7000	9.39	0.7601973427998812	0.0
8000	9.39	0.661740130262628	0.0
9000	9.18	0.7922120928135344	0.0
10000	9.43	0.7649182962905253	0.0
11000	9.41	0.8377947242612597	0.0
12000	9.25	0.8046738469715541	0.0
13000	9.19	0.702780193232564	0.0
14000	9.28	0.7626270385975048	0.0
15000	9.26	0.7017121917139534	0.0
16000	9.4	0.7483314773547883	0.0
17000	9.27	0.6760917097554147	0.0
18000	9.35	0.7123903424387504	0.0
19000	9.42	0.7372923436466705	0.0
20000	9.28	0.7626270385975046	0.0
