steps	avg_reward	std_reward	success_rate
0	9.25	0.8046738469715541	0.0
1000	15.25	2.118372016431486	0.0
2000	91.54	20.805009012254715	0.01
3000	98.06	33.889768367458636	0.09
4000	45.32	4.420135744521881	0.0
5000	196.21	14.005209744948486	0.81
6000	43.49	9.864578044701151	0.0
7000	36.01	9.730873547631784	0.0
8000	150.56	25.503066482287966	0.15
9000	162.81	32.91312656069004	0.4
10000	125.4	77.3890173086595	0.51
11000	200.0	0.0	1.0
12000	93.48	50.261412634346044	0.18
13000	127.74	6.809728335256848	0.0
14000	66.53	12.347837867416303	0.0
15000	52.21	19.679580788218026	0.0
16000	93.14	25.22063440914998	0.0
17000	200.0	0.0	1.0
18000	164.91	8.422701466869166	0.0
19000	194.88	5.812538171917669	0.45
20000	34.93	4.887238484052114	0.0
