steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-138.66	28.943469038800448	0.96
2000	-139.69	29.831089487311722	1.0
3000	-145.98	25.39999212598303	0.98
4000	-139.42	13.821852263716321	1.0
5000	-144.4	16.57105910918189	1.0
6000	-148.04	9.634230638717344	1.0
7000	-139.32	26.649157585184565	0.99
8000	-145.06	6.267088638275352	1.0
9000	-155.44	36.84679633292425	0.87
10000	-148.56	14.611173806371616	1.0
11000	-142.65	19.782504897004323	1.0
12000	-143.61	20.19895789391126	1.0
13000	-145.42	13.496799620650815	1.0
14000	-137.21	18.627020695752716	1.0
15000	-140.95	17.081788548041448	1.0
16000	-132.06	19.884576937918492	1.0
17000	-138.83	15.884618346060442	1.0
18000	-145.57	16.539803505483373	1.0
19000	-144.81	14.719167775387302	1.0
20000	-140.73	24.30302656049242	1.0
