steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-156.8	12.561846997953765	1.0
2000	-150.75	34.313663459327685	0.68
3000	-153.6	34.443286718894875	0.65
4000	-198.78	5.3283768635485975	0.05
5000	-182.35	37.717204297243455	0.18
6000	-200.0	0.0	0.0
7000	-200.0	0.0	0.0
8000	-146.36	37.72519582454146	0.98
9000	-143.39	31.40665375362361	0.97
10000	-183.7	27.408575300442013	0.35
11000	-170.89	36.74803260039917	0.7
12000	-147.28	14.599369849414735	1.0
13000	-181.09	29.00554946902402	0.3
14000	-155.07	36.059743482171356	0.61
15000	-159.72	12.478044718624789	0.99
16000	-143.69	1.2860404348231047	1.0
17000	-142.75	26.279412093880637	0.94
18000	-184.13	22.703592226782085	0.33
19000	-182.12	20.874041295350548	0.48
20000	-125.11	33.481904067719924	0.92
