steps	avg_reward	std_reward	success_rate
0	11.18	1.26	0.0
1000	100.42	7.778406006374314	0.0
2000	194.12	9.691522068282154	0.62
3000	164.59	17.737020606629514	0.04
4000	200.0	0.0	1.0
5000	174.5	10.400480758118828	0.03
6000	168.39	9.170490717513431	0.0
7000	191.15	7.727062831373898	0.26
8000	199.82	0.9836666101886348	0.96
9000	199.73	1.6177453446077352	0.97
10000	199.35	2.1511624764298953	0.89
11000	200.0	0.0	1.0
12000	199.06	3.258281755772511	0.9
13000	198.34	3.128002557543711	0.68
14000	200.0	0.0	1.0
15000	171.04	8.45094077603198	0.01
16000	163.64	8.443364258398425	0.02
17000	168.66	11.790860867638122	0.03
18000	196.54	6.827034495298819	0.7
19000	200.0	0.0	1.0
20000	200.0	0.0	1.0
