steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-138.26	32.969264474658814	1.0
2000	-152.07	49.681838734088736	0.51
3000	-160.94	1.008166652890285	1.0
4000	-139.0	21.486274688740252	1.0
5000	-144.32	33.37150880616577	1.0
6000	-157.39	25.813521650483878	0.97
7000	-136.88	19.81579168239311	1.0
8000	-147.86	24.361863639713608	0.99
9000	-134.01	23.13460395165649	1.0
10000	-139.56	25.15524597375267	1.0
11000	-151.92	6.692802103752957	1.0
12000	-153.23	18.410244430751046	0.99
13000	-135.77	19.90520283744931	1.0
14000	-146.37	17.74184601443717	0.99
15000	-132.57	16.573023260708954	1.0
16000	-147.24	3.203498088028149	1.0
17000	-144.81	22.68554385506329	1.0
18000	-166.0	43.50379293808759	0.48
19000	-143.73	29.713920979904355	0.99
20000	-155.98	17.406883695825627	0.98
