steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-143.67	19.526932682835778	1.0
2000	-161.37	11.236240474464758	1.0
3000	-145.04	19.124288222048943	1.0
4000	-144.13	21.973008442177417	1.0
5000	-145.75	4.407663780280887	1.0
6000	-147.96	4.180717641745254	1.0
7000	-147.77	12.95596773691568	1.0
8000	-134.84	23.165370707156836	1.0
9000	-149.05	16.210721760612635	1.0
10000	-146.87	22.536927474702495	0.99
11000	-146.87	17.43539790196943	1.0
12000	-141.26	14.800418912990267	1.0
13000	-144.83	21.374777191821202	1.0
14000	-138.74	22.461798681316687	0.98
15000	-144.78	18.681316870071015	1.0
16000	-132.25	25.046107482002068	0.99
17000	-137.67	21.135777724039396	1.0
18000	-142.86	24.08568869681745	1.0
19000	-136.42	26.38301726489978	1.0
20000	-134.71	22.094929282529964	1.0
