steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-144.43	3.6885091839386814	1.0
2000	-132.09	21.237747055655408	1.0
3000	-150.85	8.722814912629982	1.0
4000	-141.51	21.398829407236278	0.99
5000	-152.19	25.445901438149132	0.97
6000	-143.78	19.825024590148686	1.0
7000	-132.7	30.836504341445707	1.0
8000	-150.32	13.35955089065497	1.0
9000	-136.39	19.752921302936432	1.0
10000	-136.06	24.18876598754058	1.0
11000	-141.67	19.841398640216877	1.0
12000	-138.53	22.78659913194595	0.99
13000	-139.66	16.512552800823983	1.0
14000	-144.16	14.146886583273368	1.0
15000	-133.7	19.73904759607211	1.0
16000	-138.04	19.176506459728266	1.0
17000	-144.86	17.817979683454574	1.0
18000	-145.59	20.35735493623865	0.97
19000	-140.3	14.199647882958224	1.0
20000	-141.75	21.58581710290347	1.0
