steps	avg_reward	std_reward	success_rate
0	-200.0	0.0	0.0
1000	-178.12	18.652763870268664	0.69
2000	-168.01	35.376120476954505	0.45
3000	-169.7	35.02698959374042	0.43
4000	-162.54	17.327677282313402	0.86
5000	-166.31	27.038748121908306	0.84
6000	-165.16	23.276477396719635	0.82
7000	-143.1	30.971115575645644	0.91
8000	-166.35	5.955459679991126	1.0
9000	-163.23	16.666646333320934	0.83
10000	-154.05	26.486364416431336	1.0
11000	-151.47	32.82482444735996	0.99
12000	-194.8	6.319810123729985	0.48
13000	-155.9	29.508473359359	0.97
14000	-172.72	12.285015262505782	1.0
15000	-176.5	22.4073648606881	0.53
16000	-108.93	5.919890201684487	1.0
17000	-160.27	27.856724502353106	0.99
18000	-167.99	16.225593979882525	0.82
19000	-130.73	31.662234602124972	0.98
20000	-167.51	41.51975313028728	0.38
